class,hotelname,PARK,location,SEASON,daterange,singlerate,doubleRate,tripleRate,,
6,Sanctuary Ngorongoro Crater ,Ngorongoro,Ngorongoro,High,01 Jun - 02 Jan 2026,755,1003,1424.6,,
6,Sanctuary Ngorongoro Crater ,Ngorongoro,Ngorongoro,Low,03 Jan - 31 Mar,327,643,911.6,,
6,Lemala Ngorongoro Camp,Ngorongoro,Ngorongoro,Peak,"1 Jun - 31 Sept, 20 Dec - 31st Dec",720,1008,1059,,
6,Lemala Ngorongoro Camp,Ngorongoro,Ngorongoro,High,"1 Oct - 19 Dec, Jan - Feb",336,672,708,,
6,Lemala Ngorongoro Camp,Ngorongoro,Ngorongoro,Low,Mar - May,259,518,546,,
1,Domel Camp,Serengeti,Serengeti,Peak,"Jun - Oct, Dec - Feb",227.88,375.76,533.64,,
1,Domel Camp,Serengeti,Serengeti,Low,"Nov, Mar - May",217.88,335.76,503.64,,
1,Robin Safari Camp,Serengeti,Serengeti,High,"Jan - Mar, Jun - Oct., Dec",227.88,375.76,512.4,,
1,Robin Safari Camp,Serengeti,Serengeti,Low,"Apr - May, Nov",177.88,355.76,533.64,,
1,Tukaone Serengeti Camp,Serengeti,Serengeti,High,"1 Jan - 31 Mar, 1 Jun - 31 Oct, 1 Dec - 31 Dec",227.88,375.76,530.64,,
1,Tukaone Serengeti Camp,Serengeti,Serengeti,Low,"1 Apr - 31 May, 1 Nov - 31 Nov",207.88,315.76,443.64,,
2,Moyo Tented Camp,Serengeti,Serengeti,Peak,"Jan- Mar,  Jun - Oct, 16 Dec - 31 Dec",262.88,475.76,623.64,,
2,Moyo Tented Camp,Serengeti,Serengeti,High,1 Nov - 15 Dec,252.88,455.76,623.64,,
2,Moyo Tented Camp,Serengeti,Serengeti,Low,Apr - May,242.88,425.76,608.64,,
2,"Tanzania Bush Camp, Central",Serengeti,Serengeti,High,"01 Jan-28 Feb, 01 Jun - 31 Oct, 16 Dec-31 Dec",267.88,455.76,653.64,,
2,"Tanzania Bush Camp, Central",Serengeti,Serengeti,Low,"01 Mar-31 May, 01 Nov – 15 Dec",257.88,435.76,623.64,,
2,Zawadi Camp,Serengeti,Serengeti,Peak,"Jul ,Aug",337.88,475.76,638.64,,
2,Zawadi Camp,Serengeti,Serengeti,High,"Jan, Feb, Jun, Sep, Oct & Dec",307.88,415.76,593.64,,
2,Zawadi Camp,Serengeti,Serengeti,Low,"Nov, Mar, Apr & May",257.88,395.76,563.4,,
3,Suenos De Africa Luxury Camp,Serengeti,Serengeti,High,"Jan, Feb ,Jun, Jul, Aug, Sept, Oct, 20 Dec – 31 Dec ",272.88,495.76,743.64,,
3,Suenos De Africa Luxury Camp,Serengeti,Serengeti,Low,"Mar - May,1 Nov to 19 Dec ",277.88,435.76,653.64,,
3,Acacia Central Camp,Serengeti,Serengeti,Peak ,"1 Dec to 29 Feb, 1 Jun to 31 Oct ",295.88,497.76,671.64,,
3,Acacia Central Camp,Serengeti,Serengeti,Low,"1 Mar  – 31 May , 1 Nov to 30 Nov ",258.88,423.76,602.64,,
4,Malaika Seronera Luxury Camp,Serengeti,Serengeti,Peak,"Jun– Oct, Dec- Feb",436.88,733.76,1013.64,,
4,Malaika Seronera Luxury Camp,Serengeti,Serengeti,Low,"Mar - May, Nov",266.88,493.76,686.64,,
4,The Singing grass serengeti Bush camp,Serengeti,Serengeti,Peak,"1 July - 31 Aug, 16 Dec to 15 Jan",506.88,729.76,1063.64,,
